competence,level,level_name,description
1.1,1,FOUNDATION,"At basic level and with 
guidance, I can:  identify my information needs, find data, information and content through a simple search in digital environments, 
 find how to access these data, information and content and navigate between them,
 identify simple personal search strategies.
"
1.1,2,FOUNDATION,"At basic level and with autonomy and appropriate guidance where needed, I can:  identify my information needs, 
 find data, information and content through a simple search in digital environments, 
 find how to access these data, information and content and navigate between them.
 identify simple personal search strategies."
1.1,3,INTERMEDIATE,"On my own and solving straightforward problems, I can:  explain my information needs, 
 perform well-defined and routine searches to find data, information and content in digital environments, 
 explain how to access them and navigate between them,
 explain well-defined and routine personal search strategies.
"
1.1,4,INTERMEDIATE,"Independently, according to my own needs, and solving well-defined and non-routine problems, I can:  illustrate information needs, 
 organise the searches of data, information and content in digital environments,
 describe how to access these data, information and content, and navigate between them,
 organise personal search strategies."
1.1,5,ADVANCED,"As well as guiding others, I can:  respond to information needs, 
 apply searches to obtain data, information and content in digital environments, 
 show how to access these data, information and content and navigate between them.
 propose personal search strategies.
"
1.1,6,ADVANCED,"At advanced level, according to my own needs and those of others, and in complex contexts, I can:  assess information needs, 
 adapt my searching strategy to find the most appropriate data, information and content in digital environments, 
 explain how to access these most appropriate data, information and content and navigate among them,
 vary personal search strategies."
1.1,7,HIGHLY SPECIALISED,"At highly specialised level, I can:   create solutions to complex problems with limited definition that are related to browsing, searching and filtering of data, information and digital content,

 integrate my knowledge to contribute to professional practice and knowledge  and guide others in browsing, searching and filtering data, information and digital content.
"
1.1,8,HIGHLY SPECIALISED,"At the most advanced and specialised level, I can:  create solutions to solve complex problems with many interacting factors that are related to browsing, searching and filtering data, information and digital content.
 propose new ideas and processes to the field."
1.2,1,FOUNDATION,"At basic level and with 
guidance, I can:  detect the credibility and reliability of common sources of data, information and their digital content.
"
1.2,2,FOUNDATION,"At basic level and with autonomy and appropriate guidance where needed, I can:  detect the credibility and reliability of common sources of data, information and their digital content."
1.2,3,INTERMEDIATE,"On my own and solving straightforward problems, I can:  perform the analysis, comparison and evaluation of the credibility and reliability of well-defined sources of data, information and digital content.
 perform the analysis, interpretation and evaluation of well-defined data, information and digital content
"
1.2,4,INTERMEDIATE,"Independently, according to my own needs, and solving well-defined and non-routine problems, I can:  perform the analysis, comparison and evaluation of sources of data, information and digital content.
 perform the analysis, interpretation and evaluation of data, information and digital content."
1.2,5,ADVANCED,"As well as guiding others, I can:  carry out an evaluation of the credibility and reliability of different sources of data, information and digital content.
 carry out an evaluation of different data, information and digital content.
"
1.2,6,ADVANCED,"At advanced level, according to my own needs and those of others, and in complex contexts, I can:  critically assess the credibility and reliability of sources of data, information and digital content.
 critically assess data, information and digital content."
