Level;Name;ShortCode;Description;Uri;BroaderConcept
1;handling and moving;S6;"Sorting, arranging, moving, transforming, fabricating and cleaning goods and materials by hand or using handheld tools and equipment. Tending plants, crops and animals.
Excludes:
- Specific skills involving interaction with people";http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec;
2;handling and disposing of waste and hazardous materials;S6.13;"Collecting, storing and disposing of unwanted materials or hazardous, according to established waste management procedures.
nan";http://data.europa.eu/esco/skill/15dfca7a-5dde-4199-bad3-c00600387258;handling and moving
3;disposing of non-hazardous waste or debris;S6.13.2;"Collecting and disposing of unwanted non-hazardous materials according to established waste management procedures.
Examples:
- Handle fish harvesting waste 
- Collect domestic waste";http://data.europa.eu/esco/skill/61d1dab2-6007-4b7c-9380-cd88207fa30f;handling and disposing of waste and hazardous materials
3;handling and disposing of hazardous materials;S6.13.1;"Handling, collecting, storing and disposing of materials that pose substantial threats to public or personal health or the environment.
Hazardous waste is defined in accordance with the latest EU guidance on the classification of waste: https://europa.eu/!kr89QF

Examples:
- Dispose of medical waste 
- Handle chemical cleaning agents";http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e;handling and disposing of waste and hazardous materials
3;handling and disposing of waste and hazardous materials;S6.13.0;"Collecting, storing and disposing of unwanted materials or hazardous, according to established waste management procedures.
nan";http://data.europa.eu/esco/skill/f8c676de-c871-424f-9a65-77059d07910a;handling and disposing of waste and hazardous materials
2;moving and lifting;S6.2;"Performing physical activities to move, load, unload or store objects, position workpieces or equipment for assembly, or to climb structures, by hand or with the aid of equipment.
Excludes:
- Specific skills involving lifting and moving people and animals
- Operation of machinery other than hand-held equipment";http://data.europa.eu/esco/skill/1cc5ff0b-afaa-4993-9de7-ab0d77b6cca2;handling and moving
3;positioning materials, tools or equipment;S6.2.4;"Placing workpieces, materials, tools or equipment in the correct position for assembly or further work.
nan";http://data.europa.eu/esco/skill/30b280e7-2468-440b-a78f-f1e7f515d60a;moving and lifting
3;moving and lifting;S6.2.0;"Performing physical activities to move, load, unload or store objects or to climb structures, by hand or with the aid of equipment.
Excludes:
- Specific skills involving lifting and moving people and animals
- Operation of machinery other than hand-held equipment";http://data.europa.eu/esco/skill/577ce84f-0d21-4f25-8307-99c53f6f8437;moving and lifting
3;loading and unloading goods and, materials;S6.2.1;"Loading, securing or unloading products, materials, or equipment for transportation, storage or further processing by hand or using hand-held or manually operated equipment.
Excludes:
- Operation of machinery other than hand-held equipment

Examples:
- Stow cargo
- Secure cargo on ships
- Unload supplies";http://data.europa.eu/esco/skill/682bb7ca-dbe9-4c33-9c7a-1ae56e28516e;moving and lifting
3;moving or lifting materials, equipment, or supplies;S6.2.2;"Moving or lifting goods, materials supplies or resources, by hand or with the aid of equipment, using actions such as lifting, pushing, carrying or shovelling.
Excludes:
- Operation of machinery other than hand-held equipment

Examples:
- Feed concrete mixer
- Transfer luggage
- Lift heavy weights";http://data.europa.eu/esco/skill/e852a2ed-c32e-4a39-bc4c-65a78ffe6bf2;moving and lifting
3;storing goods and materials;S6.2.3;"Placing goods and materials in storage by hand, or with the aid of hand-held or manually operated equipment.
Excludes:
- Operation of machinery other than hand-held equipment 
- Storing hazardous material

Examples:
- Stock shelves
- Store film reels";http://data.europa.eu/esco/skill/e963cf1f-dc3c-48b2-a0fa-274f5e7f50f6;moving and lifting
