Level;Name;ShortCode;Description;Uri;BroaderConcept
1;generic programmes and qualifications;00;"Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here.
nan";http://data.europa.eu/esco/isced-f/00;
2;generic programmes and qualifications not further defined;000;"nan
nan";http://data.europa.eu/esco/isced-f/000;generic programmes and qualifications
3;generic programmes and qualifications not further defined;0000;"nan
nan";http://data.europa.eu/esco/isced-f/0000;generic programmes and qualifications not further defined
2;basic programmes and qualifications;001;"nan
nan";http://data.europa.eu/esco/isced-f/001;generic programmes and qualifications
3;basic programmes and qualifications;0011;"Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered.
nan";http://data.europa.eu/esco/isced-f/0011;basic programmes and qualifications
2;literacy and numeracy;002;"nan
nan";http://data.europa.eu/esco/isced-f/002;generic programmes and qualifications
3;literacy and numeracy;0021;"Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy
nan";http://data.europa.eu/esco/isced-f/0021;literacy and numeracy
2;personal skills and development;003;"nan
nan";http://data.europa.eu/esco/isced-f/003;generic programmes and qualifications
3;personal skills and development;0031;"Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.
nan";http://data.europa.eu/esco/isced-f/0031;personal skills and development
2;generic programmes and qualifications not elsewhere classified;009;"nan
nan";http://data.europa.eu/esco/isced-f/009;generic programmes and qualifications
3;generic programmes and qualifications not elsewhere classified;0099;"nan
nan";http://data.europa.eu/esco/isced-f/0099;generic programmes and qualifications not elsewhere classified
1;education;01;"nan
nan";http://data.europa.eu/esco/isced-f/01;
2;education;011;"nan
nan";http://data.europa.eu/esco/isced-f/011;education
3;education not further defined;0110;"nan
nan";http://data.europa.eu/esco/isced-f/0110;education
3;education science;0111;"Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114).
nan";http://data.europa.eu/esco/isced-f/0111;education
